Section,Investigation,Investigation_Loinc,Parameter,parameter_Loinc
CHEMISTRY,LIPID PROFILE,,LDL - CHOLESTEROL,13457-7
CHEMISTRY,LIVER PANEL,24325-3,BILIRUBIN (TOTAL),1975-2
CHEMISTRY,LIVER PANEL,24325-3,BILIRUBIN (CONJUGATED),1968-7
CHEMISTRY,LIVER PANEL,24325-3,ALKALINE PHOSPHATASE,6768-6
CHEMISTRY,LIVER PANEL,24325-3,ALT (GPT),1742-6
CHEMISTRY,LIVER PANEL,24325-3,AST (GOT),1920-8
MOHLabTest,LUTEINIZING HORMONE,,LUTEINIZING HORMONE,
MOHLabTest,MALARIA SMEAR,32700-7,MALARIA SMEAR,32700-7
BLOOD BANK (DONATION TESTS),MALARIA TEST FOR BLOOD DONORS,MALA,MALARIA,
MOHLabTest,MANUAL DIFFERENTIAL,18768-2,MANUAL DIFFERENTIAL,18768-2
HEMATOLOGY,MANUAL PLATELET COUNT,0,MANUAL PLATELET COUNT,0
BLOOD BANK (DONATION TESTS),NAT SCREENING,,NAT SCREENING,
HORMONES,PARATHYRIOD HORMONE (PTH),2731-8,PTH,2731-8
CHEMISTRY,PHOSPHORUS,14879-1,PHOSPHORUS,14879-1
CHEMISTRY,PRO BNP,30934-4,PRO BNP,30934-4
CHEMISTRY,PRO BNP,30934-4,NT-pro BNP (AQT),0
HORMONES,PROGESTERONE,83109-9,PROGESTERONE,83109-9
HORMONES,PROLACTIN (PRL),2842-3,PRL,2842-3
POCT,PT (POCT),,PT-POCT,
POCT,PT (POCT),,INR-POCT,
HEMATOLOGY HEMOSTASIS,PTT,,PTT ,0
HEMATOLOGY,RETICULOCYTE COUNT,50262-5,RETICULOCYTE COUNT %,17849-1
HEMATOLOGY,RETICULOCYTE COUNT,50262-5,RETICULOCYTE COUNT (ABSOLUTE),14196-0
BLOOD BANK (DONATION TESTS),RPR (SYPHILIS),31147-2,RPR (SYPHILIS),31147-2
CHEMISTRY,TOTAL PROTEIN,2885-2,TOTAL PROTEIN,2885-2
SEROLOGY,TOXOPLASMA IgM,25542-2,TOXOPLASMA IgM,25542-2
MOHLabTest,TRANSFERRIN SATURATION,3034-6,TRANSFERRIN SATURATION,3034-6
BLOOD BANK (DONATION TESTS),TREPONEMA PALLIDUM,,TREPONEMA PALLIDUM,
CHEMISTRY,TRIGLYCERIDES,2571-8,TRIGLYCERIDES,2571-8
CHEMISTRY,TROPONIN I,10839-9,TROPONIN I -AQT,10839-9
CHEMISTRY,TROPONIN I,10839-9,hs TROPONIN I - Architect,10839-9
CHEMISTRY,TROPONIN I,10839-9,TROPONIN  T - AQT,10839-9
CHEMISTRY,TROPONIN I,10839-9,Trop. I Vidas (High Sensitive),10839-9
POCT,Troponini (POCT),,Troponini-POCT,
HORMONES,TSH,3016-3,TSH,3016-3
CHEMISTRY,UREA,12962-7,UREA,12962-7
MOHLabTest,URINE ELECTROLYTES,24329-5,Sodium [Moles/volume] in Urine,2955-3
MOHLabTest,URINE ELECTROLYTES,24329-5,Potassium [Moles/volume] in Urine,2828-2
MOHLabTest,URINE ELECTROLYTES,24329-5,Chloride [Moles/volume] in Urine,2078-4
CHEMISTRY,URINE FOR PROTEIN RANDOM,21482-5,URINE PROTEIN,21482-5
HORMONES,VIT.D,2236-8,Total 25 OH VIT.D,2236-8
HORMONES,VITAMIN B12,2132-9,VITAMIN B12,2132-9
MOHLabTest,"Vitamin D 25-OH (total), serum",,"Vitamin D 25-OH (total), serum",
CULTURE D,VRE CRE ESBL screening,,VRE CRE ESBL screening,
